================ Training Loss (Thu May 14 22:09:10 2026) ================
[Rank 0] (epoch: 1, iters: 500, time: 0.024, data: 0.128) , G_GAN: 2.558, G_L1: 30.055, D_real: 0.241, D_fake: 0.135

[Rank 0] (epoch: 1, iters: 1000, time: 0.024, data: 0.002) , G_GAN: 3.234, G_L1: 34.988, D_real: 0.112, D_fake: 0.074

[Rank 0] (epoch: 1, iters: 1500, time: 0.024, data: 0.002) , G_GAN: 2.115, G_L1: 24.898, D_real: 0.092, D_fake: 0.135

[Rank 0] (epoch: 1, iters: 2000, time: 0.027, data: 0.002) , G_GAN: 1.964, G_L1: 19.539, D_real: 0.161, D_fake: 0.215

[Rank 0] (epoch: 1, iters: 2500, time: 0.025, data: 0.002) , G_GAN: 2.891, G_L1: 24.957, D_real: 0.041, D_fake: 0.502

[Rank 0] (epoch: 1, iters: 3000, time: 0.024, data: 0.002) , G_GAN: 2.726, G_L1: 23.335, D_real: 0.113, D_fake: 0.107

[Rank 0] (epoch: 1, iters: 3500, time: 0.024, data: 0.002) , G_GAN: 1.209, G_L1: 16.044, D_real: 1.929, D_fake: 0.122

[Rank 0] (epoch: 1, iters: 4000, time: 0.027, data: 0.002) , G_GAN: 1.294, G_L1: 30.086, D_real: 0.312, D_fake: 0.435

[Rank 0] (epoch: 1, iters: 4500, time: 0.025, data: 0.002) , G_GAN: 1.732, G_L1: 45.209, D_real: 0.058, D_fake: 0.510

[Rank 0] (epoch: 1, iters: 5000, time: 0.024, data: 0.002) , G_GAN: 1.018, G_L1: 24.027, D_real: 1.496, D_fake: 0.350

[Rank 0] (epoch: 1, iters: 5500, time: 0.024, data: 0.002) , G_GAN: 0.739, G_L1: 21.435, D_real: 1.369, D_fake: 0.232

[Rank 0] (epoch: 1, iters: 6000, time: 0.029, data: 0.002) , G_GAN: 1.638, G_L1: 22.074, D_real: 0.602, D_fake: 0.240

[Rank 0] (epoch: 1, iters: 6500, time: 0.024, data: 0.002) , G_GAN: 1.042, G_L1: 20.671, D_real: 0.162, D_fake: 0.954

[Rank 0] (epoch: 1, iters: 7000, time: 0.024, data: 0.002) , G_GAN: 2.512, G_L1: 26.682, D_real: 0.676, D_fake: 0.074

[Rank 0] (epoch: 1, iters: 7500, time: 0.024, data: 0.002) , G_GAN: 0.940, G_L1: 17.314, D_real: 1.075, D_fake: 0.224

[Rank 0] (epoch: 1, iters: 8000, time: 0.027, data: 0.002) , G_GAN: 1.396, G_L1: 21.965, D_real: 1.537, D_fake: 0.160

[Rank 0] (epoch: 1, iters: 8500, time: 0.024, data: 0.002) , G_GAN: 2.649, G_L1: 30.566, D_real: 0.138, D_fake: 0.062

[Rank 0] (epoch: 1, iters: 9000, time: 0.024, data: 0.002) , G_GAN: 2.045, G_L1: 21.942, D_real: 0.093, D_fake: 0.420

[Rank 0] (epoch: 1, iters: 9500, time: 0.023, data: 0.002) , G_GAN: 1.439, G_L1: 17.041, D_real: 0.259, D_fake: 0.310

[Rank 0] (epoch: 1, iters: 10000, time: 0.026, data: 0.002) , G_GAN: 0.850, G_L1: 15.646, D_real: 0.367, D_fake: 0.784

[Rank 0] (epoch: 1, iters: 10500, time: 0.024, data: 0.002) , G_GAN: 2.352, G_L1: 27.819, D_real: 0.111, D_fake: 0.311

[Rank 0] (epoch: 1, iters: 11000, time: 0.024, data: 0.002) , G_GAN: 1.919, G_L1: 16.364, D_real: 0.115, D_fake: 0.436

[Rank 0] (epoch: 1, iters: 11500, time: 0.024, data: 0.002) , G_GAN: 0.879, G_L1: 22.752, D_real: 1.462, D_fake: 0.231

[Rank 0] (epoch: 1, iters: 12000, time: 0.027, data: 0.002) , G_GAN: 1.646, G_L1: 18.759, D_real: 0.407, D_fake: 0.330

[Rank 0] (epoch: 1, iters: 12500, time: 0.023, data: 0.002) , G_GAN: 0.514, G_L1: 11.739, D_real: 0.841, D_fake: 0.286

[Rank 0] (epoch: 1, iters: 13000, time: 0.024, data: 0.002) , G_GAN: 1.329, G_L1: 24.916, D_real: 0.012, D_fake: 0.595

[Rank 0] (epoch: 1, iters: 13500, time: 0.023, data: 0.002) , G_GAN: 2.331, G_L1: 23.764, D_real: 0.105, D_fake: 0.307

[Rank 0] (epoch: 1, iters: 14000, time: 0.027, data: 0.002) , G_GAN: 2.976, G_L1: 26.453, D_real: 0.107, D_fake: 0.177

[Rank 0] (epoch: 1, iters: 14500, time: 0.024, data: 0.002) , G_GAN: 1.872, G_L1: 19.248, D_real: 0.115, D_fake: 0.972

[Rank 0] (epoch: 1, iters: 15000, time: 0.023, data: 0.002) , G_GAN: 2.162, G_L1: 21.148, D_real: 0.531, D_fake: 0.083

[Rank 0] (epoch: 1, iters: 15500, time: 0.024, data: 0.002) , G_GAN: 1.475, G_L1: 21.759, D_real: 0.112, D_fake: 0.233

[Rank 0] (epoch: 1, iters: 16000, time: 0.027, data: 0.002) , G_GAN: 2.557, G_L1: 38.242, D_real: 0.190, D_fake: 0.202

[Rank 0] (epoch: 1, iters: 16500, time: 0.024, data: 0.002) , G_GAN: 1.340, G_L1: 12.835, D_real: 0.561, D_fake: 0.167

[Rank 0] (epoch: 1, iters: 17000, time: 0.024, data: 0.002) , G_GAN: 1.527, G_L1: 36.445, D_real: 0.065, D_fake: 1.323

